label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_F_C_01_L,G9,F,C,1,L,2.276514865,0.822645706
G9_F_C_01_R,G9,F,C,1,R,2.277409399,0.823038569
G9_F_C_02_L,G9,F,C,2,L,2.595360795,0.953725542
G9_F_C_02_R,G9,F,C,2,R,2.589920765,0.951627283
G9_F_C_03_L,G9,F,C,3,L,2.775775991,1.020930345
G9_F_C_03_R,G9,F,C,3,R,2.805210136,1.031478451
G9_F_C_04_L,G9,F,C,4,L,2.650453804,0.974730872
G9_F_C_04_R,G9,F,C,4,R,2.646992714,0.973424171
G9_F_C_05_L,G9,F,C,5,L,2.438137112,0.891234269
G9_F_C_05_R,G9,F,C,5,R,2.45169892,0.896781221
G9_F_C_06_L,G9,F,C,6,L,2.250232366,0.811033485
G9_F_C_06_R,G9,F,C,6,R,2.251677992,0.811675712
G9_F_C_07_L,G9,F,C,7,L,2.808272326,1.032569464
G9_F_C_07_R,G9,F,C,7,R,2.811784909,1.033819481
G9_F_C_08_L,G9,F,C,8,L,2.876838379,1.056691906
G9_F_C_08_R,G9,F,C,8,R,2.88457552,1.059377756
G9_F_C_09_L,G9,F,C,9,L,2.589701659,0.951542679
G9_F_C_09_R,G9,F,C,9,R,2.584263742,0.949440648
G9_F_C_10_L,G9,F,C,10,L,2.606018265,0.957823487
G9_F_C_10_R,G9,F,C,10,R,2.631806597,0.967670529
G9_F_C_11_L,G9,F,C,11,L,2.426552311,0.886471448
G9_F_C_11_R,G9,F,C,11,R,2.424570633,0.88565445
G9_F_C_12_L,G9,F,C,12,L,2.787134302,1.025013936
G9_F_C_12_R,G9,F,C,12,R,2.797936783,1.028882282
G9_F_C_13_L,G9,F,C,13,L,2.481273196,0.908771814
G9_F_C_13_R,G9,F,C,13,R,2.490713738,0.912569311
G9_F_C_14_L,G9,F,C,14,L,2.52523779,0.926335232
G9_F_C_14_R,G9,F,C,14,R,2.518801594,0.92378323
G9_F_C_15_L,G9,F,C,15,L,2.789498995,1.025862008
G9_F_C_15_R,G9,F,C,15,R,2.792886736,1.027075733
G9_F_C_16_L,G9,F,C,16,L,2.663517112,0.979647472
G9_F_C_16_R,G9,F,C,16,R,2.66395514,0.979811913
G9_F_C_17_L,G9,F,C,17,L,2.665766626,0.980491681
G9_F_C_17_R,G9,F,C,17,R,2.686083609,0.988084225
G9_F_C_18_L,G9,F,C,18,L,2.455406619,0.898292377
G9_F_C_18_R,G9,F,C,18,R,2.469343464,0.903952311
G9_F_C_19_L,G9,F,C,19,L,2.557320194,0.938959911
G9_F_C_19_R,G9,F,C,19,R,2.56476318,0.941866147
G9_F_C_20_L,G9,F,C,20,L,2.48599743,0.910673959
G9_F_C_20_R,G9,F,C,20,R,2.49326605,0.913593518
G9_F_C_21_L,G9,F,C,21,L,2.741671976,1.008567944
G9_F_C_21_R,G9,F,C,21,R,2.763793343,1.016604136
G9_F_C_22_L,G9,F,C,22,L,3.010952551,1.102256491
G9_F_C_22_R,G9,F,C,22,R,3.021119915,1.105627596
G9_F_C_23_L,G9,F,C,23,L,2.86799493,1.053613155
G9_F_C_23_R,G9,F,C,23,R,2.871892326,1.054971159
G9_F_C_24_L,G9,F,C,24,L,2.768164795,1.018184572
G9_F_C_24_R,G9,F,C,24,R,2.756323122,1.013897589
