Line,Temp,Sex,Code,Ind,CsizeScaled,Pop,Elevation,Lat,Lon
CN2,18C,F,50610,1,5.252673517,CN,1121,5.5,10.68
CN2,18C,F,50610,2,4.772942696,CN,1121,5.5,10.68
CN2,18C,F,50610,3,5.104534639,CN,1121,5.5,10.68
CN2,18C,F,50610,4,4.884799961,CN,1121,5.5,10.68
CN2,18C,F,50610,5,4.944541449,CN,1121,5.5,10.68
CN3,18C,F,50610,1,3.840176382,CN,1121,5.5,10.68
CN3,18C,F,50610,2,4.141716944,CN,1121,5.5,10.68
CN3,18C,F,50610,3,4.534418198,CN,1121,5.5,10.68
CN3,18C,F,50610,4,4.887168564,CN,1121,5.5,10.68
CN3,18C,F,50610,5,4.154421286,CN,1121,5.5,10.68
CN4,18C,F,50610,1,5.125395289,CN,1121,5.5,10.68
CN4,18C,F,50610,2,4.559209262,CN,1121,5.5,10.68
CN4,18C,F,50610,3,5.028512995,CN,1121,5.5,10.68
CN4,18C,F,50610,4,4.822849172,CN,1121,5.5,10.68
CN4,18C,F,50610,5,4.931423424,CN,1121,5.5,10.68
CN5,18C,F,50610,1,4.77264678,CN,1121,5.5,10.68
CN5,18C,F,50610,2,4.64981411,CN,1121,5.5,10.68
CN5,18C,F,50610,3,4.869063412,CN,1121,5.5,10.68
CN5,18C,F,50610,4,4.867629208,CN,1121,5.5,10.68
CN5,18C,F,50610,5,4.823190618,CN,1121,5.5,10.68
CN6,18C,F,50610,1,4.213900599,CN,1121,5.5,10.68
CN6,18C,F,50610,2,4.186774283,CN,1121,5.5,10.68
CN6,18C,F,50610,3,4.576548596,CN,1121,5.5,10.68
CN6,18C,F,50610,4,4.293817858,CN,1121,5.5,10.68
CN6,18C,F,50610,5,5.195357592,CN,1121,5.5,10.68
CN2,18C,M,41710,1,4.62877848,CN,1121,5.5,10.68
CN2,18C,M,41710,2,3.751872159,CN,1121,5.5,10.68
CN2,18C,M,41710,3,4.740569145,CN,1121,5.5,10.68
CN2,18C,M,41710,4,4.554120943,CN,1121,5.5,10.68
CN2,18C,M,41710,5,4.607678056,CN,1121,5.5,10.68
CN3,18C,M,41710,2,3.845139196,CN,1121,5.5,10.68
CN3,18C,M,41710,3,4.182229286,CN,1121,5.5,10.68
CN3,18C,M,41710,4,4.072675438,CN,1121,5.5,10.68
CN3,18C,M,41710,5,4.280188643,CN,1121,5.5,10.68
CN4,18C,M,4910,1,4.174486199,CN,1121,5.5,10.68
CN4,18C,M,4910,2,4.288269856,CN,1121,5.5,10.68
CN4,18C,M,4910,3,4.052031083,CN,1121,5.5,10.68
CN4,18C,M,4910,4,4.354419581,CN,1121,5.5,10.68
CN4,18C,M,4910,5,4.330379782,CN,1121,5.5,10.68
CN5,18C,M,4810,1,4.428423866,CN,1121,5.5,10.68
CN5,18C,M,4810,2,4.189861549,CN,1121,5.5,10.68
CN5,18C,M,4810,3,4.607250089,CN,1121,5.5,10.68
CN5,18C,M,4810,4,4.053908184,CN,1121,5.5,10.68
CN5,18C,M,4810,5,4.199601491,CN,1121,5.5,10.68
CN6,18C,M,41710,1,3.906123034,CN,1121,5.5,10.68
CN6,18C,M,41710,2,3.795805145,CN,1121,5.5,10.68
CN6,18C,M,41710,3,4.736266869,CN,1121,5.5,10.68
CN6,18C,M,41710,4,3.919234693,CN,1121,5.5,10.68
CN6,18C,M,41710,5,4.584746471,CN,1121,5.5,10.68
CO1,18C,F,50510,1,4.99701969,CO,2169,6.25,10.43
CO1,18C,F,50510,2,4.776302126,CO,2169,6.25,10.43
CO1,18C,F,50510,3,4.822054472,CO,2169,6.25,10.43
CO1,18C,F,50510,4,4.972836811,CO,2169,6.25,10.43
CO1,18C,F,50510,5,5.115446256,CO,2169,6.25,10.43
CO2,18C,F,50510,1,5.134216322,CO,2169,6.25,10.43
CO2,18C,F,50510,2,5.094085326,CO,2169,6.25,10.43
CO2,18C,F,50510,3,5.436319396,CO,2169,6.25,10.43
CO2,18C,F,50510,5,5.088952011,CO,2169,6.25,10.43
CO4,18C,F,50510,1,4.990497513,CO,2169,6.25,10.43
CO4,18C,F,50510,2,5.039172937,CO,2169,6.25,10.43
CO4,18C,F,50510,3,4.943992682,CO,2169,6.25,10.43
CO4,18C,F,50510,4,5.098884305,CO,2169,6.25,10.43
CO4,18C,F,50510,5,5.190686132,CO,2169,6.25,10.43
CO8,18C,F,50610,1,5.291036092,CO,2169,6.25,10.43
CO8,18C,F,50610,3,5.286524487,CO,2169,6.25,10.43
CO8,18C,F,50610,4,4.988515847,CO,2169,6.25,10.43
CO8,18C,F,50610,5,4.84985027,CO,2169,6.25,10.43
CO9,18C,F,50510,1,5.204757608,CO,2169,6.25,10.43
CO9,18C,F,50510,2,5.173362881,CO,2169,6.25,10.43
CO9,18C,F,50510,3,4.982698989,CO,2169,6.25,10.43
CO9,18C,F,50510,4,5.075878383,CO,2169,6.25,10.43
CO9,18C,F,50510,5,5.096320788,CO,2169,6.25,10.43
CO1,18C,M,41910,1,4.225729474,CO,2169,6.25,10.43
CO1,18C,M,41910,3,3.988561488,CO,2169,6.25,10.43
CO1,18C,M,41910,4,4.171427313,CO,2169,6.25,10.43
CO1,18C,M,41910,5,4.174271768,CO,2169,6.25,10.43
CO2,18C,M,4910,1,4.684469696,CO,2169,6.25,10.43
CO2,18C,M,4910,2,4.798498426,CO,2169,6.25,10.43
