Line,Genotype,Rep,Temp,Individual,Sex,L1_Femur,L1_Tibia,L1_Tarsus,L2_Femur,L2_Tibia,L2_Tarsus,L3_Femur,L3_Tibia,L3_Tarsus,Wing_Length,Wing_CV
1,Wt,1,25,1,F,0.516,0.426,0.174,0.638,0.593,0.268,0.634,0.58,0.278,1.807,0.204
1,Wt,1,25,2,F,0.529,0.424,0.177,0.663,0.584,0.26,0.646,0.585,0.293,1.832,0.203
1,Wt,1,25,3,F,0.533,0.418,0.154,0.633,0.563,0.242,0.624,0.556,0.267,1.732,0.208
1,Wt,1,25,4,F,0.527,0.417,0.188,0.653,0.574,0.25,0.636,0.552,0.291,1.766,0.208
1,Wt,1,25,5,F,0.558,0.434,0.182,0.653,0.602,0.266,0.637,0.608,0.287,1.858,0.216
1,Wt,1,25,6,F,0.549,0.434,0.193,0.655,0.604,0.271,0.648,0.611,0.285,1.851,0.218
1,Wt,1,25,7,F,0.53,0.434,0.186,0.666,0.589,0.272,0.638,0.598,0.288,1.801,0.208
1,Wt,1,25,8,F,0.529,0.422,0.188,0.67,0.598,0.257,0.642,0.584,0.279,1.825,0.216
1,Wt,1,25,9,F,0.529,0.407,0.177,0.678,0.598,0.273,0.66,0.603,0.289,1.861,0.217
1,Wt,1,25,10,F,0.494,0.398,0.171,0.636,0.544,0.246,0.633,0.571,0.262,1.817,0.214
1,Ubx,1,25,1,F,0.527,0.424,0.162,0.651,0.582,0.253,0.655,0.584,0.26,1.737,0.224
1,Ubx,1,25,2,F,0.523,0.408,0.167,0.633,0.569,0.242,0.613,0.511,0.25,1.732,0.196
1,Ubx,1,25,3,F,0.502,0.39,0.157,0.634,0.559,0.247,0.647,0.561,0.28,1.717,0.193
1,Ubx,1,25,4,F,0.528,0.403,0.189,0.651,0.599,0.278,0.629,0.571,0.295,1.804,0.211
1,Ubx,1,25,5,F,0.529,0.415,0.153,0.668,0.582,0.26,0.647,0.571,0.277,1.829,0.207
1,Ubx,1,25,6,F,0.541,0.456,0.184,0.683,0.596,0.247,0.674,0.601,0.302,1.87,0.223
1,Ubx,1,25,7,F,0.519,0.4,0.174,0.63,0.577,0.269,0.642,0.566,0.289,1.778,0.21
1,Ubx,1,25,8,F,0.539,0.444,0.186,0.649,0.59,0.265,0.673,0.607,0.272,1.816,0.203
1,Ubx,1,25,9,F,0.521,0.416,0.16,0.636,0.588,0.259,0.654,0.595,0.272,1.789,0.219
1,Ubx,1,25,10,F,0.516,0.418,0.199,0.637,0.565,0.255,0.684,0.599,0.289,1.776,0.198
3,Wt,1,25,1,F,0.528,0.435,0.191,0.644,0.604,0.275,0.621,0.604,0.293,1.778,0.216
3,Wt,1,25,2,F,0.515,0.432,0.188,0.645,0.615,0.301,0.627,0.59,0.301,1.849,0.216
3,Wt,1,25,3,F,0.5,0.389,0.167,0.602,0.555,0.268,0.586,0.561,0.291,1.577,0.175
3,Wt,1,25,4,F,0.529,0.43,0.186,0.658,0.598,0.272,0.671,0.586,0.306,1.823,0.223
3,Wt,1,25,5,F,0.524,0.419,0.199,0.666,0.599,0.278,0.627,0.583,0.309,1.846,0.221
3,Wt,1,25,6,F,0.523,0.432,0.182,0.659,0.607,0.285,0.637,0.588,0.346,1.845,0.216
3,Wt,1,25,7,F,0.527,0.421,0.186,0.648,0.558,0.272,0.635,0.582,0.293,1.757,0.212
3,Wt,1,25,8,F,0.533,0.461,0.185,0.664,0.629,0.287,,0.6,0.323,1.865,0.195
3,Wt,1,25,9,F,0.453,0.38,0.173,0.575,0.538,0.251,0.565,0.52,0.279,1.667,0.197
3,Wt,1,25,10,F,0.487,0.393,0.188,0.624,0.577,0.27,0.62,0.572,0.286,1.792,0.213
3,Ubx,1,25,1,F,0.49,0.419,0.185,0.658,0.606,0.278,0.647,0.602,0.314,1.807,0.214
3,Ubx,1,25,2,F,0.51,0.418,0.166,0.599,0.585,0.265,0.641,0.545,0.302,1.878,0.229
3,Ubx,1,25,3,F,0.503,0.386,0.175,0.606,0.558,0.25,0.601,0.551,0.272,1.698,0.197
3,Ubx,1,25,4,F,0.504,0.444,0.187,0.664,0.605,0.27,0.665,0.593,0.301,1.846,0.212
3,Ubx,1,25,5,F,0.492,0.426,0.171,0.647,0.593,0.257,0.628,0.578,0.29,1.726,0.211
3,Ubx,1,25,6,F,0.523,0.416,0.185,0.622,0.591,0.269,0.628,0.583,0.294,1.798,0.213
3,Ubx,1,25,7,F,0.537,0.431,0.182,0.646,0.593,0.278,0.63,0.584,0.304,1.778,0.206
3,Ubx,1,25,8,F,0.539,0.431,0.183,0.646,0.6,0.268,0.635,0.572,0.312,1.818,0.223
3,Ubx,1,25,9,F,0.509,0.424,0.188,,0.593,0.257,0.651,0.588,0.302,1.791,0.241
3,Ubx,1,25,10,F,0.561,0.434,0.2,0.653,0.604,0.305,0.672,0.593,0.314,1.825,0.22
4,Wt,1,25,1,F,0.543,0.444,0.194,0.68,0.637,0.255,0.632,0.604,0.284,1.834,0.202
4,Wt,1,25,2,F,0.522,0.459,0.19,0.68,0.628,0.238,0.651,0.609,0.292,1.801,0.199
4,Wt,1,25,3,F,0.522,0.453,0.176,0.676,0.622,0.289,0.631,0.586,0.31,1.791,0.209
4,Wt,1,25,4,F,0.567,0.441,0.175,0.687,0.634,0.275,0.7,0.612,0.31,1.834,0.19
4,Wt,1,25,5,F,0.525,0.441,0.191,0.67,0.612,0.26,0.628,0.569,0.294,1.784,0.203
4,Wt,1,25,6,F,0.55,0.444,0.191,0.693,0.663,0.259,0.676,0.63,0.294,1.895,0.207
4,Wt,1,25,7,F,0.535,0.445,0.192,0.669,0.634,0.251,0.623,0.604,0.281,1.82,0.22
4,Wt,1,25,8,F,0.517,0.453,0.185,0.638,0.558,0.255,0.629,0.589,0.31,1.738,0.191
4,Wt,1,25,9,F,0.535,0.437,0.179,0.651,0.61,0.237,0.612,0.589,0.289,1.784,0.2
4,Wt,1,25,10,F,0.518,0.412,0.189,0.638,0.613,0.256,0.624,0.609,0.301,1.786,0.199
4,Ubx,1,25,1,F,0.548,0.434,0.18,0.692,0.617,0.266,0.67,0.611,0.321,1.902,0.215
4,Ubx,1,25,2,F,0.544,0.431,0.18,0.694,0.632,0.25,0.683,0.626,0.299,1.851,0.202
4,Ubx,1,25,3,F,0.537,0.441,0.174,0.689,0.613,0.253,0.671,0.635,0.298,1.883,0.201
4,Ubx,1,25,4,F,0.549,0.436,0.155,0.661,0.581,0.258,0.641,0.61,0.308,1.869,0.219
4,Ubx,1,25,5,F,0.565,0.449,0.165,0.721,0.661,0.249,0.69,0.636,0.313,1.981,0.232
4,Ubx,1,25,6,F,0.549,0.42,0.187,0.674,0.64,0.286,0.678,0.62,0.293,1.879,0.214
4,Ubx,1,25,7,F,0.555,0.454,0.192,0.699,0.636,0.262,0.687,0.63,0.309,1.899,0.208
4,Ubx,1,25,8,F,0.561,0.422,0.195,0.699,0.653,0.241,0.685,0.604,0.32,1.93,0.214
4,Ubx,1,25,9,F,0.555,0.451,0.178,0.691,0.638,0.271,0.671,0.606,0.305,1.914,0.219
4,Ubx,1,25,10,F,0.537,0.415,0.161,0.648,0.619,0.26,0.639,0.6,0.293,1.808,0.2
6,Wt,1,25,1,F,0.523,0.42,0.164,0.656,0.595,0.265,0.631,0.577,0.283,1.874,0.202
6,Wt,1,25,2,F,0.534,0.427,0.173,0.664,0.627,0.278,0.649,0.585,0.307,1.832,0.208
6,Wt,1,25,3,F,0.571,0.441,0.183,0.702,0.649,0.296,0.67,0.62,0.34,1.924,0.218
6,Wt,1,25,4,F,0.541,0.4,0.197,0.674,0.624,0.267,0.633,0.602,0.325,1.897,0.214
6,Wt,1,25,5,F,0.537,0.447,0.174,0.666,0.598,0.268,0.642,0.611,0.291,1.874,0.219
6,Wt,1,25,6,F,0.541,0.438,0.189,0.663,0.564,0.277,0.654,0.597,0.306,1.786,0.204
6,Wt,1,25,7,F,0.529,0.45,0.196,0.657,0.589,0.294,0.622,0.58,0.292,1.794,0.205
6,Wt,1,25,8,F,0.553,0.429,0.177,0.602,0.607,0.282,0.631,0.611,0.322,1.859,0.201
6,Wt,1,25,9,F,0.534,0.428,0.183,0.651,0.61,0.278,0.615,0.559,0.278,1.812,0.206
6,Wt,1,25,10,F,0.563,0.426,0.181,0.691,0.611,0.256,0.634,0.586,0.309,1.9,0.212
6,Ubx,1,25,1,F,0.531,0.426,0.182,0.653,0.61,0.278,0.64,0.612,0.298,1.804,0.203
6,Ubx,1,25,2,F,0.532,0.41,0.175,0.645,0.588,0.252,0.693,0.541,0.276,1.815,0.21
6,Ubx,1,25,3,F,0.568,0.447,0.203,0.671,0.623,0.277,0.689,0.615,0.306,1.859,0.21
6,Ubx,1,25,4,F,0.535,0.436,0.192,0.67,0.593,0.295,0.665,0.605,0.306,1.869,0.22
6,Ubx,1,25,5,F,0.535,0.441,0.188,0.666,0.617,0.276,0.661,0.599,0.287,1.866,0.217
6,Ubx,1,25,6,F,0.523,0.391,0.174,0.621,0.561,0.233,0.637,0.559,0.282,1.815,0.211
6,Ubx,1,25,7,F,0.543,0.441,0.186,0.642,0.568,0.256,0.623,0.566,0.306,1.786,0.218
6,Ubx,1,25,8,F,0.528,0.429,0.202,0.65,0.591,0.244,0.654,0.543,0.279,1.831,0.209
6,Ubx,1,25,9,F,0.528,0.399,0.176,0.669,0.606,0.268,0.655,0.595,0.276,1.89,0.21
6,Ubx,1,25,10,F,0.542,0.42,0.194,0.657,0.607,0.258,0.667,0.594,0.288,1.837,0.225
7,Wt,1,25,1,F,0.52,0.406,0.177,0.625,0.601,0.252,0.622,0.609,0.283,1.848,0.207
7,Wt,1,25,2,F,0.507,0.424,0.171,0.631,0.578,0.264,0.603,0.57,0.278,1.739,0.222
7,Wt,1,25,3,F,0.531,0.423,0.187,0.669,0.606,0.285,0.667,0.606,0.295,1.967,0.225
7,Wt,1,25,4,F,0.512,0.419,0.162,0.634,0.581,0.252,0.608,0.579,0.279,1.715,0.211
7,Wt,1,25,5,F,0.514,0.416,0.157,0.655,0.615,0.26,0.645,0.584,0.277,1.783,0.214
7,Wt,1,25,6,F,0.443,0.387,0.158,0.602,0.51,0.228,0.589,0.536,0.249,1.695,0.202
7,Wt,1,25,7,F,0.532,0.423,0.2,0.646,0.604,0.269,0.638,0.597,0.3,1.744,0.21
7,Wt,1,25,8,F,0.49,0.386,0.177,0.623,0.581,0.245,0.613,0.576,0.312,1.886,0.218
7,Wt,1,25,9,F,0.545,0.445,0.173,0.691,0.644,0.261,0.657,0.636,0.309,1.887,0.222
7,Wt,1,25,10,F,0.538,0.467,0.169,0.673,0.606,0.26,0.662,0.596,0.315,1.865,0.22
7,Ubx,1,25,1,F,0.531,0.443,0.181,0.658,0.589,0.295,0.666,0.602,0.302,1.902,0.217
7,Ubx,1,25,2,F,0.534,0.426,0.184,0.675,0.635,0.268,0.676,0.607,0.272,1.847,0.209
7,Ubx,1,25,3,F,0.553,0.413,0.175,0.682,0.597,0.267,0.658,0.607,0.288,1.916,0.23
7,Ubx,1,25,4,F,0.529,0.428,0.179,0.667,0.613,0.249,0.63,0.589,0.274,1.766,0.226
7,Ubx,1,25,5,F,0.516,0.42,0.185,0.656,0.592,0.235,0.655,0.597,0.275,1.823,0.214
7,Ubx,1,25,6,F,0.524,0.425,0.162,0.674,0.596,0.258,0.668,0.619,0.292,1.92,0.242
7,Ubx,1,25,7,F,0.537,0.43,0.196,0.665,0.588,0.276,0.674,0.623,0.294,1.857,0.222
7,Ubx,1,25,8,F,0.537,0.437,0.165,0.634,0.586,0.284,0.662,0.569,0.288,1.789,0.227
